      time,           p [    21.91      1.64         0],           p [    25.57      1.64         0],           p [    29.12      1.62         0],           p [    32.89      1.63         0],           p [    36.54      1.63         0],           p [    40.21      1.63         0]
    9.475953091251294e+01,                    2.391902817282274555e+03,                    2.448129570767017412e+03,                    2.518158077396466979e+03,                    2.322022344965472712e+03,                    2.386900467565263170e+03,                    2.780281582511821398e+03
    9.477416169625474e+01,                    2.390635975488189160e+03,                    2.445746048023929234e+03,                    2.516410051952453614e+03,                    2.328546546049919925e+03,                    2.403019620551789103e+03,                    2.787968961088961805e+03
    9.478879480387374e+01,                    2.389360935343386245e+03,                    2.443281400081483753e+03,                    2.514759296573495703e+03,                    2.335603217854024479e+03,                    2.418970916491171920e+03,                    2.796753315343080430e+03
    9.480343026993978e+01,                    2.387726696000328502e+03,                    2.440736028389664170e+03,                    2.513172489385654444e+03,                    2.343369209780229539e+03,                    2.434868240865901043e+03,                    2.804032724849915667e+03
    9.481806813013822e+01,                    2.386390977372809630e+03,                    2.438097074355320274e+03,                    2.511690203286968881e+03,                    2.351148248172389685e+03,                    2.450703308537523299e+03,                    2.810723139311725390e+03
    9.483270842125384e+01,                    2.385467366127597870e+03,                    2.435359519819889101e+03,                    2.510257043666967547e+03,                    2.359409051535262734e+03,                    2.466464890241865305e+03,                    2.816171845065383422e+03
    9.484735118126000e+01,                    2.383404956731917991e+03,                    2.432592077869114291e+03,                    2.508911912121493060e+03,                    2.367962945020478401e+03,                    2.482151015151187949e+03,                    2.820926773342234810e+03
    9.486199644914329e+01,                    2.381819126755734487e+03,                    2.429773007882155071e+03,                    2.507640810998929737e+03,                    2.376543410271604444e+03,                    2.497755748635825512e+03,                    2.824866872412175326e+03
    9.487664426481022e+01,                    2.380406355726126094e+03,                    2.426882588782768380e+03,                    2.506452771170322194e+03,                    2.385391340096652129e+03,                    2.513039638454849410e+03,                    2.827464683121070266e+03
    9.489129466897936e+01,                    2.379125323354861393e+03,                    2.423932503935827299e+03,                    2.505274886660611628e+03,                    2.394292185551455987e+03,                    2.528146372329137648e+03,                    2.829194872593558102e+03
    9.490594770312718e+01,                    2.377434296784676917e+03,                    2.420958847708136545e+03,                    2.504178988699824004e+03,                    2.403279124548370419e+03,                    2.543118123605441269e+03,                    2.830197228596124205e+03
    9.492028448078028e+01,                    2.376492232491175855e+03,                    2.418403416873508831e+03,                    2.503580139792951286e+03,                    2.412765941036813274e+03,                    2.558177426698039653e+03,                    2.831146674103235000e+03
    9.493437124665058e+01,                    2.375040515963686630e+03,                    2.415353774381575477e+03,                    2.502588873121635515e+03,                    2.421524715169932279e+03,                    2.572091830879352074e+03,                    2.830009747569620231e+03
    9.494845801252089e+01,                    2.372628161314194585e+03,                    2.412074849660385553e+03,                    2.501272129843254788e+03,                    2.429789710362240839e+03,                    2.585220118733102936e+03,                    2.827670526356932896e+03
    9.496275308312399e+01,                    2.370414013166282075e+03,                    2.408850434666285764e+03,                    2.500125696583741956e+03,                    2.438024011003313717e+03,                    2.598054144387016095e+03,                    2.824507467616227586e+03
    9.497741922233094e+01,                    2.368613094871423982e+03,                    2.405629659020276449e+03,                    2.499036092870454922e+03,                    2.446422727946771374e+03,                    2.610900728045442065e+03,                    2.820466293797229810e+03
    9.499208821255567e+01,                    2.367751783130424428e+03,                    2.403093599501128665e+03,                    2.498770361384740227e+03,                    2.455687092660663893e+03,                    2.624212068084529164e+03,                    2.816331666445283645e+03
    9.500676032371162e+01,                    2.366351642992608049e+03,                    2.400059447771355281e+03,                    2.498052060097760204e+03,                    2.464371972155701314e+03,                    2.636827160043008917e+03,                    2.810813913539855093e+03
    9.502143554593357e+01,                    2.364735297357307445e+03,                    2.397044580087439499e+03,                    2.497396395786844096e+03,                    2.472858900399410231e+03,                    2.648804038912598571e+03,                    2.804229648132098191e+03
    9.503611388667086e+01,                    2.363376179173616492e+03,                    2.394038427145940659e+03,                    2.496752794278292185e+03,                    2.481236688537354894e+03,                    2.660360528221880941e+03,                    2.796875153216496983e+03
    9.505079536362452e+01,                    2.361898811784630198e+03,                    2.391052454819898230e+03,                    2.496211468313441401e+03,                    2.489387372449058603e+03,                    2.671571502560952467e+03,                    2.788798160488266603e+03
    9.506547999875610e+01,                    2.360578627039547882e+03,                    2.388088212881443269e+03,                    2.495686287251049180e+03,                    2.497406700972170711e+03,                    2.682109409230757592e+03,                    2.779994837269973686e+03
    9.508016781898948e+01,                    2.359366344348047278e+03,                    2.385159033741071198e+03,                    2.495252819345313583e+03,                    2.505164525229910396e+03,                    2.691972676887243779e+03,                    2.770049544902484740e+03
    9.509485885567082e+01,                    2.358258742361519580e+03,                    2.382261504155197599e+03,                    2.494829311343622521e+03,                    2.512741212506715783e+03,                    2.701270379070198032e+03,                    2.759711369692379321e+03
    9.510955314386396e+01,                    2.357210598640343051e+03,                    2.379383927674356528e+03,                    2.494494048671132532e+03,                    2.520067041846045868e+03,                    2.709957191401162163e+03,                    2.748494423078476757e+03
    9.512425072148723e+01,                    2.356317627008761974e+03,                    2.376567086674928760e+03,                    2.494165385272227923e+03,                    2.527156256649645911e+03,                    2.717923322280712455e+03,                    2.736630819536156196e+03
    9.513895162845753e+01,                    2.355487872541922570e+03,                    2.373777558404887714e+03,                    2.493920707366332863e+03,                    2.533986380383772484e+03,                    2.725264442376504121e+03,                    2.724697335243733505e+03
    9.515365590586477e+01,                    2.354809070854115362e+03,                    2.371043552120750064e+03,                    2.493703843955522643e+03,                    2.540552507756973228e+03,                    2.731939936209300868e+03,                    2.711366003094802636e+03
    9.516836359551883e+01,                    2.354214616659038711e+03,                    2.368336530255266098e+03,                    2.493560546104427885e+03,                    2.546903628823309191e+03,                    2.737980350818922489e+03,                    2.697650567181829956e+03
